Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2025-04-08,Entertainment,Debit Card,Ready control talk fall.,120.02,10.27
2025-04-27,Subscriptions,Cash,Nation him care.,324.69,0.0
2025-04-17,Food,Cash,Out service also bad artist spring.,40.25,15.19
2025-04-02,Food,NetBanking,Case success term break wonder machine.,169.02,0.18
2025-04-13,Bills,Credit Card,Treat his employee.,480.45,0.0
2025-04-27,Miscellaneous,Credit Card,Statement of upon wear instead wonder they.,55.43,0.0
2025-04-15,Groceries,Credit Card,Call major hit each need note.,197.79,10.6
2025-04-04,Bills,UPI,Star everything my control.,208.75,0.0
2025-04-05,Transportation,Cash,Herself town start range measure number.,78.16,2.28
2025-04-02,Bills,UPI,Exactly specific page.,170.9,0.0
2025-04-01,Bills,Credit Card,Certain television political art.,59.04,0.0
2025-04-09,Miscellaneous,UPI,Exist pretty name group word friend.,233.09,1.96
2025-04-27,Entertainment,Cash,Agency build food majority painting.,111.9,0.0
2025-04-03,Subscriptions,Debit Card,Event will suggest science.,86.21,8.1
2025-04-21,Subscriptions,UPI,Business trip house do public.,98.85,0.0
2025-05-06,Bills,Credit Card,Woman discussion remember for listen.,81.22,0.0
2025-05-21,Food,Credit Card,Suddenly street program.,196.6,0.0
2025-05-18,Subscriptions,NetBanking,Remain several water.,464.89,0.0
2025-05-09,Bills,Credit Card,Nothing become nor idea rest.,50.05,0.0
2025-05-25,Food,Cash,This pass listen difficult allow.,325.04,0.0
2025-05-25,Food,Debit Card,Page project smile or close.,420.49,12.75
2025-05-20,Entertainment,NetBanking,Usually he general around song including.,359.51,0.0
2025-05-06,Subscriptions,Credit Card,General loss alone.,369.17,8.94
2025-05-26,Bills,UPI,Range author happy.,19.6,0.0
2025-05-18,Miscellaneous,Credit Card,Add Congress final never.,371.43,0.73
2025-05-06,Subscriptions,UPI,Bit across computer environmental.,78.22,19.52
2025-05-09,Groceries,NetBanking,Back vote parent behind around.,414.43,6.08
2025-05-20,Transportation,Debit Card,Score issue him I court explain.,477.6,12.74
2025-05-03,Groceries,Cash,Appear leave hundred either stuff business production.,309.76,0.0
2025-05-27,Miscellaneous,Cash,Structure attack although.,335.25,0.0
2025-05-03,Transportation,Credit Card,Car cost call important.,112.84,11.0
2025-05-11,Bills,NetBanking,Paper west foreign hospital article.,273.57,6.66
2025-05-06,Subscriptions,NetBanking,Capital bag pass security.,197.64,0.0
2025-05-08,Entertainment,UPI,Lead point employee industry.,188.07,0.0
2025-05-25,Transportation,Cash,Without leave early institution.,106.26,0.0
2025-05-02,Miscellaneous,Cash,Explain address space defense scene.,480.26,12.2
2025-05-03,Bills,Credit Card,Old more leave pull good.,172.19,12.83
2025-05-04,Miscellaneous,Cash,Foot spend case.,487.57,0.0
2025-05-24,Bills,UPI,Eat can soon week hope professional.,400.07,0.0
2025-05-14,Miscellaneous,Debit Card,Effort different star.,381.39,11.68
2025-05-24,Food,Credit Card,Coach military Mr.,248.97,6.58
2025-05-07,Groceries,Debit Card,Truth include avoid.,484.35,0.0
2025-05-03,Miscellaneous,Credit Card,Accept structure machine group case officer summer.,54.51,10.54
2025-05-15,Food,Cash,Available professional break.,422.8,14.68
2025-05-15,Groceries,Cash,Laugh notice policy improve ball.,399.22,5.19
2025-05-15,Food,Credit Card,Mr interesting few read future what.,488.06,0.0
2025-05-12,Food,NetBanking,Five his shoulder down.,88.93,14.55
2025-05-14,Subscriptions,Credit Card,Process trade sort prevent put film.,209.52,15.15
2025-05-06,Miscellaneous,NetBanking,Institution almost rather.,142.12,0.0
2025-05-18,Bills,UPI,Prevent more never may.,23.79,0.0
2025-05-18,Entertainment,NetBanking,Sort political such article.,451.27,9.39
2025-05-07,Miscellaneous,NetBanking,Born probably fly question.,34.54,0.0
2025-05-25,Miscellaneous,Debit Card,Painting heavy large could week.,329.95,13.42
2025-05-12,Miscellaneous,Credit Card,Weight bill statement mean risk me.,81.52,0.16
2025-05-27,Miscellaneous,Credit Card,I food really memory throughout.,42.72,0.0
2025-05-09,Miscellaneous,UPI,Could turn girl quickly send month.,422.24,0.0
2025-05-13,Groceries,Credit Card,Consider social eye add language.,222.22,0.0
2025-05-17,Transportation,Cash,Officer peace somebody single know.,81.42,13.57
2025-05-26,Food,Cash,Single degree of.,96.21,0.0
2025-05-06,Food,UPI,Choose member instead hope practice two.,427.23,1.51
2025-05-04,Entertainment,Debit Card,Effort score black.,128.76,19.68
2025-05-21,Groceries,UPI,Fight place both thing raise.,224.42,13.14
2025-05-17,Transportation,Debit Card,Treatment according language beat.,416.11,0.0
2025-05-06,Transportation,Credit Card,Manager serious during.,196.22,6.92
2025-05-07,Transportation,Cash,Loss something second national financial.,428.16,2.82
2025-05-02,Food,UPI,Sometimes first nothing.,32.47,0.0
2025-05-26,Food,UPI,Born now realize.,411.92,0.0
2025-05-12,Subscriptions,NetBanking,Impact image government challenge candidate bring.,435.83,0.0
2025-05-14,Miscellaneous,NetBanking,Guy move laugh or case citizen.,398.16,9.87
2025-05-17,Subscriptions,Cash,Arrive table support measure most pattern.,241.67,0.0
2025-05-26,Bills,Cash,Hospital yes music throw government never.,72.03,5.6
2025-05-26,Entertainment,NetBanking,Study thought remain still only establish.,248.11,2.1
2025-05-23,Miscellaneous,Credit Card,Though station price score.,83.9,0.0
2025-05-17,Food,UPI,Design mother indeed factor fund tax.,22.06,3.61
2025-05-07,Food,Debit Card,Test law four black.,254.87,0.0
2025-05-15,Transportation,Credit Card,Training continue peace.,180.5,10.97
2025-05-04,Miscellaneous,UPI,Mission bar wear degree well skill.,354.42,17.3
2025-05-13,Transportation,Debit Card,Do pay answer clear.,338.45,0.0
2025-05-23,Entertainment,Credit Card,Effect think approach million his.,26.03,0.0
2025-05-11,Subscriptions,NetBanking,Mrs increase record.,442.82,12.57
2025-05-12,Groceries,Credit Card,Century thought fill.,368.34,0.0
2025-05-19,Entertainment,Credit Card,Store event you may may.,110.16,8.82
2025-05-03,Subscriptions,Cash,End training area.,171.1,7.84
2025-05-08,Entertainment,Credit Card,Something form special western practice.,102.64,6.0
2025-05-14,Subscriptions,Cash,Away could simple purpose.,277.96,16.93
2025-05-17,Bills,NetBanking,Fund seek would as population.,322.49,2.26
2025-05-09,Groceries,UPI,Program itself follow third.,178.37,6.4
2025-05-21,Entertainment,UPI,Since likely together.,299.21,0.0
2025-05-03,Entertainment,Credit Card,All ago short early home require.,208.95,0.0
2025-05-10,Groceries,NetBanking,There off everyone.,29.92,14.56
2025-05-24,Miscellaneous,Credit Card,Sea fire daughter agency between discussion.,279.77,0.0
2025-05-09,Transportation,UPI,Decision address southern organization continue popular.,168.33,0.0
2025-05-20,Food,Cash,Upon same fire his.,219.87,5.28
2025-05-24,Groceries,Credit Card,Painting responsibility instead.,445.25,8.5
2025-05-17,Transportation,Cash,Compare hear talk society.,238.51,0.0
2025-05-10,Bills,UPI,Forget issue consider film.,248.45,0.0
2025-05-03,Bills,NetBanking,Give middle assume music trade.,477.67,9.74
2025-05-07,Groceries,UPI,Often give television company be admit.,271.73,6.07
2025-05-13,Food,Credit Card,Administration look wear what tend.,392.94,5.11
2025-05-02,Groceries,UPI,Main artist story economic feeling.,60.06,2.78
2025-05-14,Subscriptions,Debit Card,Player box tonight he best media.,289.4,10.78
2025-05-01,Bills,NetBanking,Environment my site many.,169.08,0.0
2025-05-22,Miscellaneous,Debit Card,Majority future agree case follow land.,167.79,0.0
2025-05-11,Miscellaneous,Credit Card,Economy week score.,411.35,6.77
2025-05-17,Entertainment,Credit Card,Behind difficult nature beat score.,331.81,0.0
2025-05-11,Bills,Cash,Blood black among treatment better.,344.69,0.0
2025-05-24,Food,Cash,Risk want provide we inside high.,59.8,1.32
2025-05-14,Bills,UPI,Radio adult artist issue.,127.05,2.27
2025-05-25,Food,Debit Card,Police result again.,147.95,14.62
2025-05-02,Groceries,Cash,One computer arrive policy stuff event.,40.23,0.0
2025-05-26,Bills,UPI,Fact behavior ago agree agency degree.,433.7,6.87
2025-05-09,Transportation,Cash,North artist deep professional.,326.31,6.34
2025-05-10,Bills,Cash,Bank worker size effort goal.,287.13,3.71
2025-05-06,Entertainment,UPI,West training even unit turn.,41.22,0.0
2025-05-03,Bills,Credit Card,Baby although my.,423.07,0.0
2025-06-09,Food,Debit Card,Unit matter American.,192.86,0.0
2025-06-25,Subscriptions,UPI,Ever card number admit.,247.28,5.91
2025-06-05,Subscriptions,Debit Card,Talk effect trouble fish citizen.,274.33,13.51
2025-06-22,Bills,Debit Card,Product in color defense blue majority.,122.29,19.75
2025-06-14,Groceries,Credit Card,Others election successful me yourself.,495.56,0.0
2025-06-09,Bills,UPI,Republican start indeed.,125.59,18.23
2025-06-07,Bills,Credit Card,Value play start stuff different but.,395.68,17.78
2025-06-09,Miscellaneous,Cash,Chance ahead food.,427.01,0.2
2025-06-01,Subscriptions,Debit Card,Change all rich its.,358.2,0.0
2025-06-05,Bills,NetBanking,Get arrive end.,344.28,0.0
2025-06-09,Bills,Debit Card,Reveal nature particular even.,484.59,0.0
2025-06-08,Food,NetBanking,Policy economy test democratic with.,265.46,0.0
2025-06-21,Groceries,NetBanking,Call time white Mrs should.,267.6,0.0
2025-06-03,Groceries,Cash,Me pressure garden behind age raise.,409.86,4.19
2025-06-20,Entertainment,Debit Card,Case program fine include bit west.,75.3,0.0
2025-06-03,Groceries,Cash,Cause couple guess nearly.,104.91,0.0
2025-06-26,Entertainment,Credit Card,Same event public method suffer cause.,452.82,0.0
2025-06-15,Subscriptions,Debit Card,Agent thought hope study.,137.77,0.0
2025-06-25,Entertainment,UPI,Section notice people TV out write.,217.79,0.0
2025-06-25,Groceries,NetBanking,Until security describe hot.,60.17,18.16
2025-06-09,Transportation,Cash,Society nation these.,140.91,1.18
2025-06-05,Entertainment,Credit Card,Set crime mention several I.,403.35,9.37
2025-06-21,Bills,UPI,Through could give suggest where.,183.8,0.0
2025-06-04,Food,Credit Card,Never power consider there adult huge.,84.09,1.88
2025-06-27,Groceries,Cash,Shake concern although produce mission.,96.75,0.0
2025-06-10,Miscellaneous,Cash,Agreement ago school.,21.32,0.0
2025-06-09,Miscellaneous,Cash,Education yeah step role hold.,38.02,0.0
2025-06-16,Miscellaneous,Cash,Maybe crime cell suffer remain wife.,495.71,0.0
2025-06-08,Bills,Debit Card,Nature actually whole economy other.,328.22,8.67
2025-06-03,Entertainment,Credit Card,Employee generation building policy point PM.,379.87,12.34
2025-06-23,Bills,NetBanking,Create here prepare answer.,135.46,8.68
2025-06-18,Groceries,UPI,Animal gas around wrong government white.,223.72,0.0
2025-06-17,Miscellaneous,Credit Card,Follow bank way future under try particular.,238.86,0.0
2025-06-07,Groceries,UPI,Add red type exist history.,29.3,15.62
2025-06-05,Entertainment,Credit Card,Worker alone size.,75.32,0.0
2025-06-19,Subscriptions,UPI,Million defense adult say.,270.99,0.0
2025-06-05,Food,Debit Card,Condition attention age arm.,210.2,8.49
2025-06-16,Transportation,Cash,Give say language among central.,334.79,0.0
2025-06-27,Miscellaneous,NetBanking,Wonder until great nation whom.,249.47,0.0
2025-06-16,Food,Debit Card,Think for law billion difference drive.,110.23,0.0
2025-06-25,Entertainment,NetBanking,Pass daughter themselves.,238.2,3.04
2025-06-03,Subscriptions,NetBanking,Your card usually stage television talk.,46.95,4.67
2025-06-20,Miscellaneous,NetBanking,Car take contain.,224.73,0.0
2025-06-19,Subscriptions,Cash,Whose team open anything.,72.29,9.67
2025-06-10,Food,Debit Card,Find wrong ask state drop science.,200.74,0.0
2025-06-25,Entertainment,Cash,Write more hundred financial three edge.,65.05,0.0
2025-06-06,Entertainment,NetBanking,Own partner Mr notice writer.,126.46,0.0
2025-06-21,Food,Debit Card,Meeting major role.,363.72,6.72
2025-06-13,Food,Debit Card,Far policy responsibility admit.,298.14,0.0
2025-06-23,Transportation,NetBanking,Medical meet trial sort yeah person.,395.46,0.0
2025-06-26,Entertainment,NetBanking,Campaign themselves catch exist woman market.,12.0,0.0
2025-06-18,Entertainment,Credit Card,Vote nearly society.,95.04,0.0
2025-06-15,Miscellaneous,Debit Card,Commercial news music nation top truth.,23.19,1.48
2025-06-04,Miscellaneous,Credit Card,Type tree fund.,63.51,0.59
2025-06-26,Groceries,Credit Card,Wish under its east interesting game.,178.13,0.0
2025-06-01,Miscellaneous,Cash,Color thought stop old itself walk.,471.74,11.48
2025-06-04,Food,NetBanking,Defense less art conference push easy.,498.88,0.0
2025-06-07,Subscriptions,UPI,Enjoy ago ball.,321.75,2.06
2025-06-09,Groceries,NetBanking,Avoid person maintain design.,434.08,17.83
2025-06-06,Bills,UPI,Model stock increase.,143.18,12.11
2025-06-19,Bills,Cash,Big believe new.,473.45,16.02
2025-06-04,Miscellaneous,Debit Card,Include need should yes.,308.66,9.4
2025-06-09,Groceries,Cash,Front clearly strong commercial eight board.,220.25,0.0
2025-06-07,Miscellaneous,NetBanking,Area heart billion official option vote.,220.85,0.0
2025-06-13,Entertainment,Debit Card,Exactly owner return position.,151.58,0.0
2025-06-10,Entertainment,NetBanking,Tonight few walk girl often cultural.,58.15,0.82
2025-06-21,Miscellaneous,Cash,Entire reduce future.,441.49,15.39
2025-06-19,Bills,Cash,Blue executive one.,245.1,0.0
2025-06-07,Subscriptions,NetBanking,Miss end author experience size.,60.67,0.0
2025-06-20,Bills,Cash,Sign sometimes type key like smile.,216.06,0.0
2025-06-10,Groceries,Cash,Walk top scene send.,353.96,2.77
2025-06-17,Miscellaneous,Credit Card,Eight site ago opportunity with face.,175.97,0.0
2025-06-13,Entertainment,UPI,Decision music garden describe.,104.19,6.96
2025-06-22,Food,UPI,Story trouble occur research finish network.,413.56,0.0
2025-06-22,Transportation,Debit Card,Bag few crime side.,143.12,0.0
2025-06-15,Bills,Credit Card,Hundred term worker.,231.23,17.64
2025-06-18,Subscriptions,Credit Card,Low song pressure.,343.76,2.53
2025-06-14,Subscriptions,Credit Card,Discover American evidence visit.,463.58,0.0
2025-06-25,Transportation,Credit Card,Voice yeah side.,367.58,18.44
2025-06-16,Miscellaneous,NetBanking,Season statement market.,52.52,1.88
2025-06-03,Food,NetBanking,Third hit character meeting.,332.55,16.05
2025-06-15,Subscriptions,Cash,Face make nice.,475.1,18.09
2025-06-22,Food,NetBanking,Ok perhaps such thousand follow trouble.,104.65,0.0
2025-06-25,Bills,NetBanking,Provide poor economic to financial close.,195.85,0.0
2025-06-07,Bills,NetBanking,Fall until yeah.,416.95,10.71
2025-06-06,Bills,UPI,Safe almost guess contain black yes.,432.88,0.0
2025-06-23,Subscriptions,Debit Card,Stage energy computer chair I.,125.72,13.47
2025-06-25,Food,NetBanking,Set understand probably high establish from.,53.67,0.0
2025-06-04,Entertainment,Cash,Mind baby assume.,496.12,15.44
2025-06-16,Transportation,UPI,Find research dinner minute team.,271.64,0.0
2025-06-10,Bills,Debit Card,Number thank help wonder month outside.,403.46,11.99
2025-06-02,Subscriptions,Credit Card,Between of stock.,346.67,8.16
2025-06-10,Entertainment,UPI,Another rule four she.,102.95,4.55
2025-06-09,Groceries,Debit Card,Significant very unit college peace scene.,283.96,0.0
2025-06-04,Bills,Credit Card,Practice music traditional grow entire.,274.13,0.0
2025-06-04,Subscriptions,Cash,Mean data word skin break social.,309.34,0.0
2025-06-20,Subscriptions,Credit Card,Throughout practice economy board.,104.57,6.66
2025-06-10,Transportation,Cash,Now believe machine off defense teach.,83.8,0.0
2025-06-09,Entertainment,Cash,Purpose us policy fall relationship.,271.74,10.66
2025-06-02,Transportation,Cash,Nation letter choose.,85.94,14.84
2025-07-03,Groceries,Credit Card,Third notice politics improve.,441.24,0.0
2025-07-08,Subscriptions,Credit Card,Them big parent.,167.63,0.0
2025-07-24,Groceries,Credit Card,Fear carry person sometimes.,320.52,4.22
2025-07-22,Transportation,NetBanking,Soldier standard leader.,210.28,7.82
2025-07-12,Groceries,UPI,Section ever across play cultural mind.,318.14,0.0
2025-07-21,Miscellaneous,UPI,Practice style attention.,91.78,8.64
2025-07-17,Miscellaneous,UPI,Special trouble fact.,436.9,0.0
2025-07-15,Miscellaneous,Cash,Road others bring.,66.06,0.0
2025-07-02,Transportation,NetBanking,International blue know.,73.31,6.48
2025-07-08,Bills,UPI,News change environment top over when.,160.15,8.55
2025-07-08,Entertainment,UPI,Far discover season street.,482.15,0.0
2025-07-22,Transportation,NetBanking,Successful vote else sense.,255.04,13.12
2025-07-17,Groceries,Debit Card,Take election far special agreement.,220.28,1.82
2025-07-25,Groceries,NetBanking,Student attorney way statement know range.,424.24,0.0
2025-07-20,Food,Cash,Government town sound six physical.,272.43,0.0
2025-07-24,Transportation,Debit Card,Chair scientist air gas heavy.,301.88,0.0
2025-07-06,Miscellaneous,UPI,Compare trade line growth.,434.17,19.51
2025-07-16,Miscellaneous,UPI,The even recent.,360.88,13.17
2025-07-15,Transportation,Debit Card,Hot hospital would seat truth set.,87.54,0.0
2025-07-07,Entertainment,Credit Card,Center term beautiful soon feeling.,57.97,0.0
2025-07-22,Transportation,NetBanking,Become glass stand impact.,382.93,14.97
2025-07-19,Food,NetBanking,Theory although professor serve civil.,186.24,0.0
2025-07-24,Bills,Debit Card,Him onto direction.,434.38,0.0
2025-07-22,Groceries,UPI,Standard specific somebody happen.,20.49,9.55
2025-07-04,Entertainment,Cash,Owner man performance outside within size.,438.06,0.0
2025-07-09,Subscriptions,Credit Card,Contain gas certain true whole interview.,295.59,0.0
2025-07-27,Bills,NetBanking,Vote line lead color.,43.43,3.78
2025-07-02,Entertainment,NetBanking,Plan example week.,78.0,3.69
2025-07-26,Subscriptions,Debit Card,Ability reality room.,218.4,16.9
2025-07-18,Entertainment,Debit Card,Always fight picture.,383.73,13.69
2025-07-25,Bills,Credit Card,Know attention leg gas.,365.43,0.0
2025-07-21,Subscriptions,UPI,Least pass tend beautiful notice.,195.83,0.0
2025-07-13,Food,Credit Card,Suffer however deal face service.,218.56,0.0
2025-07-18,Food,UPI,Today water phone stop against director.,201.89,8.03
2025-07-02,Bills,Debit Card,Challenge series assume far call so.,286.78,10.12
2025-07-10,Miscellaneous,Debit Card,However those drop draw.,57.81,2.01
2025-07-03,Food,UPI,Magazine yes its possible long.,321.28,4.0
2025-07-06,Bills,Credit Card,According deep plant TV decision difference.,239.67,5.58
2025-07-01,Bills,NetBanking,And life exist plant lay.,343.89,17.16
2025-07-06,Entertainment,Debit Card,According hotel miss itself gun.,232.96,12.64
2025-07-26,Groceries,Cash,Source partner threat.,429.62,0.0
2025-07-19,Bills,NetBanking,Red appear quality on community.,499.93,15.01
2025-07-15,Miscellaneous,Debit Card,Involve now table under.,257.57,18.69
2025-07-25,Food,NetBanking,Attack official attention environmental sea.,285.35,0.0
2025-07-13,Food,UPI,Relationship off indeed against relate former resource.,376.4,0.0
2025-07-09,Entertainment,NetBanking,Wonder dark room.,175.87,0.38
2025-07-01,Miscellaneous,Cash,Note create later the.,449.5,9.67
2025-07-17,Subscriptions,Credit Card,Good campaign probably yard husband.,238.2,0.0
2025-07-24,Transportation,UPI,Party respond else pull church.,58.8,0.0
2025-07-17,Subscriptions,NetBanking,Single white late interesting throw animal.,239.62,13.33
2025-07-25,Subscriptions,Cash,Agree personal writer subject support throw.,115.06,0.0
2025-07-25,Entertainment,NetBanking,Ground nature operation.,299.73,0.0
2025-07-25,Miscellaneous,Credit Card,Discover left compare.,62.37,4.65
2025-07-15,Bills,Cash,Hold respond activity country skill.,184.28,13.36
2025-07-03,Miscellaneous,UPI,Drop interesting apply act.,418.93,0.0
2025-07-02,Transportation,Credit Card,Raise rather single three beat.,151.38,0.0
2025-07-01,Food,Cash,Allow summer help this human rate.,287.07,0.0
2025-07-15,Entertainment,Cash,Claim world federal significant six indeed.,93.93,18.94
2025-07-12,Entertainment,Cash,Break contain night bit probably us.,127.04,5.22
2025-07-26,Bills,Cash,Nor need political during leader.,384.13,3.17
2025-07-06,Food,Credit Card,Me dog agent every west.,397.79,4.27
2025-07-10,Food,NetBanking,Life war difficult nature bar animal.,319.54,0.0
2025-07-12,Subscriptions,Debit Card,According crime goal must agent school chance.,143.06,0.0
2025-07-24,Groceries,NetBanking,Near he half experience religious.,73.59,16.33
2025-07-19,Miscellaneous,Cash,Return own beautiful institution.,219.03,0.0
2025-07-10,Entertainment,Debit Card,Series fund anything range personal laugh.,57.39,1.76
2025-07-12,Entertainment,Cash,Red tax per understand at issue.,300.93,5.45
2025-07-04,Miscellaneous,UPI,The art focus among painting Congress.,340.15,0.0
2025-07-06,Transportation,Credit Card,Have everyone evening.,302.87,0.1
2025-07-20,Food,Cash,Near hold because.,265.92,0.0
2025-07-24,Subscriptions,Credit Card,Fund somebody huge no dinner.,285.89,14.84
2025-07-15,Miscellaneous,NetBanking,Return certainly option.,422.19,6.88
2025-07-15,Food,Cash,Bed find culture wish finally model.,196.97,0.0
2025-07-18,Groceries,NetBanking,There good produce black choose.,76.18,0.0
2025-07-12,Transportation,Debit Card,Story you past manager today.,223.98,13.7
2025-07-14,Groceries,Cash,Somebody year degree popular trip past.,41.77,0.0
2025-07-10,Subscriptions,Credit Card,Key final evidence production suffer.,127.17,3.44
2025-07-14,Groceries,Credit Card,Truth financial career.,284.38,0.0
2025-07-06,Entertainment,Cash,Since cell determine.,97.89,10.39
2025-07-16,Food,Debit Card,Story and control assume certainly civil.,394.71,4.11
2025-07-06,Groceries,Cash,Produce nearly writer meet.,200.4,0.0
2025-07-04,Entertainment,UPI,Artist model church.,128.59,9.46
2025-07-14,Subscriptions,NetBanking,Home red tonight federal.,27.12,0.0
2025-07-22,Subscriptions,Debit Card,Management project role improve power between.,186.83,2.9
2025-07-11,Miscellaneous,Cash,Fast cut huge I read.,64.68,3.45
2025-07-23,Bills,NetBanking,Whatever feeling national mind science owner.,474.87,5.38
2025-07-15,Food,NetBanking,Ball air door market which.,110.9,17.58
2025-07-25,Transportation,NetBanking,Ok form baby.,490.15,2.59
2025-07-11,Groceries,Debit Card,Garden yeah discover.,423.43,0.0
2025-07-02,Miscellaneous,Debit Card,Operation bag light director bar travel.,246.8,6.69
2025-07-08,Entertainment,Credit Card,Professional realize word want.,103.15,0.0
2025-07-09,Bills,NetBanking,Fine seek recently with between store.,227.87,13.44
2025-07-11,Groceries,NetBanking,Available often trial.,21.39,0.0
2025-07-05,Miscellaneous,Cash,Meet pull resource phone.,46.26,7.6
2025-07-26,Miscellaneous,Credit Card,About discuss trip.,406.01,0.0
2025-07-20,Groceries,Debit Card,According each heavy knowledge region specific.,382.61,14.78
2025-07-10,Entertainment,Credit Card,Current answer whether.,88.32,6.46
2025-07-08,Bills,Credit Card,Technology be effort.,192.08,0.0
2025-07-17,Entertainment,Credit Card,Meeting enough learn explain.,267.05,0.0
2025-07-22,Bills,Debit Card,International someone today quickly feel.,222.4,0.0
2025-08-17,Groceries,Debit Card,Worry knowledge book someone follow education.,448.97,2.38
2025-08-17,Bills,UPI,Through development current all.,259.34,19.23
2025-08-18,Food,Debit Card,Sometimes star series government heart.,498.6,0.0
2025-08-16,Subscriptions,Cash,Interview official whole recognize window.,342.46,0.0
2025-08-20,Miscellaneous,Credit Card,Out garden board statement.,305.61,19.35
2025-08-01,Groceries,Credit Card,Event travel by ago.,74.78,0.0
2025-08-17,Transportation,Debit Card,Determine his talk worker me.,26.72,12.66
2025-08-07,Transportation,UPI,Yard win half democratic.,98.99,12.16
2025-08-27,Transportation,UPI,Leg arrive painting next.,244.72,15.26
2025-08-11,Groceries,Credit Card,Always single participant.,276.04,0.0
2025-08-27,Food,Credit Card,Yard avoid provide able different.,41.05,6.81
2025-08-04,Transportation,Debit Card,Like town again share after prevent.,323.06,0.0
2025-08-15,Bills,UPI,Line partner though only either.,246.57,18.88
2025-08-20,Food,Credit Card,Price best cold room newspaper loss.,14.9,0.0
2025-08-05,Groceries,UPI,Watch Mr process do thank.,311.36,0.0
2025-08-16,Subscriptions,Cash,Computer according name news.,311.14,0.0
2025-08-15,Miscellaneous,Cash,Country particular across.,470.38,0.0
2025-08-02,Food,UPI,Culture expert series debate.,74.19,9.04
2025-08-17,Bills,Cash,Green strategy song key network.,288.67,0.0
2025-08-24,Entertainment,NetBanking,Evening fund strong.,406.49,11.09
2025-08-09,Food,NetBanking,Order pretty pay mouth body.,453.62,10.46
2025-08-18,Miscellaneous,Debit Card,Baby program local minute involve suffer bed.,435.75,0.0
2025-08-24,Groceries,UPI,Able improve either.,76.67,10.98
2025-08-26,Subscriptions,UPI,Spend cut consumer condition.,400.81,3.91
2025-08-12,Miscellaneous,Debit Card,Interview job why year budget.,434.7,1.94
2025-08-21,Food,Debit Card,Security people star.,363.01,0.0
2025-08-10,Groceries,Debit Card,Room here likely agency.,87.64,6.6
2025-08-08,Transportation,Credit Card,Raise himself whatever fly.,116.13,0.0
2025-08-07,Miscellaneous,UPI,Important among after work player.,311.7,8.86
2025-08-26,Bills,Cash,Argue kitchen ago chance.,276.23,0.0
2025-08-23,Food,Debit Card,Toward exactly individual can.,447.48,16.71
2025-08-06,Groceries,NetBanking,Modern whom board modern.,141.54,0.0
2025-08-19,Subscriptions,Debit Card,Then study fund.,84.95,8.05
2025-08-21,Groceries,Debit Card,Big often debate.,421.01,0.0
2025-08-04,Miscellaneous,NetBanking,Across certain stay begin doctor game.,202.57,18.78
2025-08-25,Bills,Debit Card,Short road site care audience.,155.73,0.0
2025-08-26,Groceries,UPI,Clearly religious floor.,114.72,0.0
2025-08-12,Transportation,Cash,So surface today pick three perform.,19.18,0.0
2025-08-04,Subscriptions,Credit Card,Today claim anything near.,459.51,0.0
2025-08-12,Transportation,UPI,Once pass campaign relationship.,315.0,0.0
2025-08-11,Entertainment,Cash,Strong prove avoid.,61.21,16.3
2025-08-16,Bills,UPI,Personal speech cause also.,144.02,16.26
2025-08-26,Subscriptions,Cash,Kitchen myself say indeed street role.,348.59,0.0
2025-08-21,Food,NetBanking,World find give player strong safe.,413.49,0.0
2025-08-23,Food,UPI,Year debate pass poor challenge.,389.6,5.36
2025-08-25,Entertainment,NetBanking,Even month work both ok first.,315.84,19.31
2025-08-03,Groceries,Cash,Without type line.,248.38,0.0
2025-08-23,Bills,NetBanking,Activity road speak.,154.42,0.0
2025-08-25,Transportation,Debit Card,Law democratic possible themselves outside modern.,188.19,0.0
2025-08-25,Subscriptions,UPI,Brother song final.,215.64,7.61
2025-08-02,Groceries,Debit Card,Behavior Democrat car.,370.46,18.54
2025-08-10,Subscriptions,UPI,National record pass think.,419.37,0.0
2025-08-03,Transportation,Cash,Human boy every tough pick.,223.0,0.0
2025-08-05,Subscriptions,Cash,Without ground seat modern.,392.09,0.0
2025-08-24,Subscriptions,Cash,Difficult agree age different leader reason.,93.63,0.0
2025-08-08,Groceries,UPI,Speak if itself.,386.94,8.35
2025-08-26,Subscriptions,Debit Card,Pm team use address.,169.52,0.0
2025-08-15,Bills,Debit Card,Relationship green community voice door laugh.,444.98,0.0
2025-08-25,Groceries,Credit Card,Form across commercial loss.,172.14,3.49
2025-08-08,Groceries,Credit Card,Ground field he billion.,52.9,7.12
2025-08-15,Groceries,NetBanking,Finally relate control name.,260.86,7.24
2025-08-02,Groceries,Credit Card,Great discussion level significant institution.,241.21,0.0
2025-08-04,Transportation,Debit Card,Baby project whether.,368.72,0.0
2025-08-17,Food,UPI,Fund possible large.,137.84,0.0
2025-08-13,Groceries,Debit Card,Try front tonight exactly.,422.08,0.0
2025-08-09,Subscriptions,NetBanking,Take candidate hit society.,306.2,15.76
2025-08-19,Entertainment,NetBanking,Father fact have action interesting.,173.35,3.43
2025-08-09,Transportation,UPI,Day professor phone teacher.,232.15,3.33
2025-08-21,Subscriptions,Credit Card,Stay establish inside.,224.33,0.0
2025-08-20,Entertainment,Cash,Back agreement cell travel develop friend.,463.91,0.0
2025-08-12,Subscriptions,Cash,Practice central late.,79.16,0.0
